,Unnamed: 0,Date,Address,State,County,City,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI
1243,1243,2000-01-01,5551 BETHEL ISLAND RD,California,Contra Costa,Bethel Island,0.019059,0.022,15,20,0.505556,0.7,8,8.0,1.227273,3.0,14,4.0,9.826087,14.0,2,13
1244,1244,2000-01-02,5551 BETHEL ISLAND RD,California,Contra Costa,Bethel Island,0.020765,0.029,10,27,0.391667,0.6,9,7.0,2.090909,4.0,9,6.0,9.347826,16.0,8,15
1245,1245,2000-01-03,5551 BETHEL ISLAND RD,California,Contra Costa,Bethel Island,0.011412,0.021,9,19,0.420833,0.6,23,7.0,1.136364,2.0,0,3.0,13.434783,27.0,20,25
1246,1246,2000-01-04,5551 BETHEL ISLAND RD,California,Contra Costa,Bethel Island,0.012706,0.018,12,17,0.666667,1.0,9,11.0,1.818182,6.0,15,9.0,18.608696,28.0,4,26
1247,1247,2000-01-05,5551 BETHEL ISLAND RD,California,Contra Costa,Bethel Island,0.024235,0.031,9,29,0.379167,0.5,0,6.0,0.227273,1.0,0,1.0,5.9565220000000005,12.0,0,11
1248,1248,2000-01-06,5551 BETHEL ISLAND RD,California,Contra Costa,Bethel Island,0.006176,0.013,10,12,0.558333,0.9,10,10.0,0.636364,1.0,5,1.0,16.956522,25.0,18,24
1249,1249,2000-01-07,5551 BETHEL ISLAND RD,California,Contra Costa,Bethel Island,0.011176,0.025,9,23,0.541667,0.7,23,8.0,0.818182,2.0,15,3.0,18.521739,33.0,21,31
1250,1250,2000-01-08,5551 BETHEL ISLAND RD,California,Contra Costa,Bethel Island,0.005,0.011,9,10,0.804167,1.1,3,13.0,1.636364,4.0,5,6.0,20.26087,31.0,1,29
1251,1251,2000-01-09,5551 BETHEL ISLAND RD,California,Contra Costa,Bethel Island,0.011529,0.019,11,18,0.641667,0.8,1,9.0,1.409091,3.0,10,4.0,13.173913,21.0,22,20
1252,1252,2000-01-10,5551 BETHEL ISLAND RD,California,Contra Costa,Bethel Island,0.011294,0.016,10,15,0.4875,0.6,3,7.0,0.909091,2.0,5,3.0,10.130435,16.0,10,15
1253,1253,2000-01-11,5551 BETHEL ISLAND RD,California,Contra Costa,Bethel Island,0.021294,0.026,13,24,0.429167,0.5,6,6.0,0.318182,1.0,0,1.0,9.347826,17.0,5,16
1254,1254,2000-01-12,5551 BETHEL ISLAND RD,California,Contra Costa,Bethel Island,0.0069409999999999,0.017,9,16,0.533333,0.7,22,8.0,1.318182,7.0,12,10.0,16.782609,26.0,17,25
1255,1255,2000-01-13,5551 BETHEL ISLAND RD,California,Contra Costa,Bethel Island,0.006118,0.014,9,13,0.575,0.7,0,8.0,0.909091,2.0,9,3.0,17.521739,25.0,19,24
