,Unnamed: 0,Date,Address,State,County,City,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI
0,0,2000-01-01,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,0.019765,0.04,10,37,0.8789469999999999,2.2,23,25.0,3.0,9.0,21,13.0,19.041667,49.0,19,46
1,1,2000-01-02,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,0.015882,0.032,10,30,1.066667,2.3,0,26.0,1.958333,3.0,22,4.0,22.958333,36.0,19,34
2,2,2000-01-03,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,0.009353,0.016,9,15,1.7625,2.5,8,28.0,5.25,11.0,19,16.0,38.125,51.0,8,48
3,3,2000-01-04,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,0.015882,0.033,9,31,1.829167,3.0,23,34.0,7.0833330000000005,16.0,8,23.0,40.26087,74.0,8,72
4,4,2000-01-05,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,0.007353,0.012,9,11,2.7,3.7,2,42.0,8.708333,15.0,7,21.0,48.45,61.0,22,58
5,5,2000-01-06,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,0.014,0.025,10,23,2.308333,3.6,9,41.0,6.7619050000000005,17.0,7,24.0,39.95,73.0,8,71
6,6,2000-01-07,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,0.013235,0.024,10,22,1.829167,3.5,23,40.0,8.666667,21.0,7,30.0,29.625,43.0,9,41
7,7,2000-01-08,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,0.011176,0.02,10,19,2.7875,5.1,2,57.0,8.25,18.0,0,26.0,29.666667,41.0,0,39
8,8,2000-01-09,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,0.012588,0.022,10,20,1.675,2.8,2,32.0,6.5,13.0,19,19.0,25.083333,37.0,20,35
9,9,2000-01-10,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,0.01,0.015,9,14,2.179167,3.7,23,42.0,9.958333,21.0,20,30.0,37.666667,70.0,20,68
10,10,2000-01-11,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,0.009471,0.017,10,16,2.5333330000000003,4.5,1,51.0,11.625,24.0,22,34.0,50.5,81.0,22,80
11,11,2000-01-12,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,0.009294,0.014,9,13,2.316667,4.2,0,48.0,10.916667,26.0,21,37.0,49.125,81.0,21,80
12,12,2000-01-13,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,0.006647,0.01,9,9,2.958333,4.6,23,52.0,10.952381,21.0,22,30.0,73.285714,117.0,22,104
13,13,2000-01-14,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,0.009765,0.018,8,17,3.575,5.3,1,59.0,11.625,29.0,8,41.0,66.541667,124.0,10,105
14,14,2000-01-15,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,0.012412,0.022,9,20,2.175,4.5,23,51.0,9.583333,22.0,20,31.0,53.166667,87.0,22,86
15,15,2000-01-16,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,0.011706,0.023,9,21,1.9625,4.8,0,54.0,6.4583330000000005,13.0,19,19.0,45.75,73.0,19,71
16,16,2000-01-17,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,0.009353,0.015,8,14,1.9875,3.9,23,44.0,8.5,19.0,23,27.0,59.25,101.0,23,101
17,17,2000-01-18,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,0.007118,0.01,11,9,2.891667,4.9,2,55.0,12.166667,23.0,22,33.0,66.791667,101.0,22,101
18,18,2000-01-19,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,0.007647,0.013,9,12,2.65,4.9,1,55.0,10.166667,22.0,20,31.0,59.041667,87.0,20,86
19,19,2000-01-20,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,0.010412,0.016,10,15,2.366667,4.1,1,47.0,9.391304,17.0,21,24.0,48.357143,65.0,0,63
20,20,2000-01-21,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,0.009294,0.014,9,13,1.9125,3.5,23,40.0,7.958333,17.0,22,24.0,54.5,61.0,21,58
21,21,2000-01-22,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,0.012235,0.02,10,19,1.9125,3.8,0,43.0,6.875,14.0,21,20.0,38.083333,64.0,21,62
22,22,2000-01-23,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,0.018882,0.036,10,33,1.979167,4.0,1,45.0,6.791667,14.0,22,20.0,37.958333,66.0,20,64
23,23,2000-01-24,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,0.012882,0.023,10,21,1.979167,3.3,1,38.0,9.083333,18.0,21,26.0,53.333333,77.0,21,76
24,24,2000-01-25,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,0.010647,0.02,9,19,1.554167,2.9,0,33.0,7.833333,11.0,0,16.0,42.583333,59.0,0,56
25,25,2000-01-26,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,0.020647,0.035,10,32,0.866667,1.4,0,16.0,3.363636,7.0,1,10.0,27.217391,42.0,0,40
26,26,2000-01-27,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,0.015941,0.028,10,26,0.925,1.6,23,18.0,3.684211,11.0,8,16.0,33.375,51.0,8,48
27,27,2000-01-28,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,0.015118,0.027,10,25,1.454167,1.9,1,22.0,3.952381,14.0,21,20.0,36.875,54.0,21,51
28,28,2000-01-29,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,0.020176,0.037,10,34,1.708333,3.1,23,35.0,6.157895,17.0,22,24.0,39.625,66.0,22,64
29,29,2000-01-30,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,0.019235,0.035,10,32,1.491667,3.8,1,43.0,2.45,10.0,23,14.0,35.208333,57.0,20,54
30,30,2000-01-31,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,0.015294,0.03,10,28,1.445833,2.4,2,27.0,3.315789,9.0,22,13.0,37.913043,53.0,0,50
31,31,2000-02-01,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,0.021118,0.039,9,36,1.608333,2.6,3,30.0,4.047619,15.0,8,21.0,34.583333,55.0,8,52
32,32,2000-02-02,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,0.018235,0.036,10,33,1.304167,2.5,9,28.0,5.73913,20.0,8,29.0,41.043478,64.0,8,62
33,33,2000-02-03,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,0.017529,0.032,10,30,1.233333,3.2,23,36.0,5.791667,18.0,21,26.0,45.833333,71.0,23,69
34,34,2000-02-04,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,0.013647,0.022,10,20,2.1125,4.2,23,48.0,8.166667,28.0,23,40.0,53.333333,92.0,23,91
35,35,2000-02-05,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,0.020235,0.039,10,36,1.9625,5.0,1,56.0,4.3333330000000005,16.0,0,23.0,42.458333,67.0,0,65
36,36,2000-02-06,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,0.022,0.043,10,40,1.8,3.6,2,41.0,4.555556,12.0,1,17.0,37.875,64.0,0,62
37,37,2000-02-07,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,0.018941,0.033,10,31,2.1,3.2,23,36.0,8.55,19.0,23,27.0,50.208333,74.0,9,72
38,38,2000-02-08,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,0.011059,0.019,9,18,2.35,4.2,2,48.0,7.217391,24.0,9,34.0,57.833333,89.0,9,88
39,39,2000-02-09,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,0.015,0.027,10,25,1.3875,2.0,12,23.0,4.428571,10.0,5,14.0,41.086957,55.0,0,52
