,Unnamed: 0,Date,Address,State,County,City,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI
4067,4067,2000-01-01,"2850 MESA VERDE DR EAST, COSTA MESA",California,Orange,Costa Mesa,0.020294,0.029,10,27,0.988889,1.8,6,20.0,2.347826,4.0,1,6.0,20.565217,33.0,0,31
4068,4068,2000-01-02,"2850 MESA VERDE DR EAST, COSTA MESA",California,Orange,Costa Mesa,0.016529,0.034,9,31,0.716667,1.4,23,16.0,2.652174,4.0,5,6.0,17.826087,40.0,19,38
4069,4069,2000-01-03,"2850 MESA VERDE DR EAST, COSTA MESA",California,Orange,Costa Mesa,0.008118,0.018,9,17,1.9375,2.9,10,33.0,3.3043480000000005,5.0,5,7.0,40.0,56.0,22,53
4070,4070,2000-01-04,"2850 MESA VERDE DR EAST, COSTA MESA",California,Orange,Costa Mesa,0.006176,0.012,9,11,2.9708330000000003,4.2,8,48.0,3.869565,10.0,6,14.0,45.826087,100.0,6,100
4071,4071,2000-01-05,"2850 MESA VERDE DR EAST, COSTA MESA",California,Orange,Costa Mesa,0.020176,0.036,21,33,2.833333,4.2,9,48.0,3.565217,6.0,8,9.0,37.782609,70.0,9,68
4072,4072,2000-01-06,"2850 MESA VERDE DR EAST, COSTA MESA",California,Orange,Costa Mesa,0.009706,0.023,9,21,1.125,2.3,23,26.0,2.826087,5.0,14,7.0,30.913043,50.0,20,47
4073,4073,2000-01-07,"2850 MESA VERDE DR EAST, COSTA MESA",California,Orange,Costa Mesa,0.005,0.01,8,9,2.670833,3.9,9,44.0,3.695652,8.0,8,11.0,39.869565,61.0,8,58
4074,4074,2000-01-08,"2850 MESA VERDE DR EAST, COSTA MESA",California,Orange,Costa Mesa,0.004471,0.008,9,7,2.941667,3.7,8,42.0,4.521739,10.0,13,14.0,50.130435,75.0,12,73
4075,4075,2000-01-09,"2850 MESA VERDE DR EAST, COSTA MESA",California,Orange,Costa Mesa,0.007059,0.015,9,14,2.775,4.2,4,48.0,3.4782610000000003,5.0,5,7.0,44.347826,55.0,9,52
4076,4076,2000-01-10,"2850 MESA VERDE DR EAST, COSTA MESA",California,Orange,Costa Mesa,0.009706,0.022,10,20,2.3208330000000004,2.9,8,33.0,3.4782610000000003,5.0,8,7.0,38.73913,53.0,17,50
4077,4077,2000-01-11,"2850 MESA VERDE DR EAST, COSTA MESA",California,Orange,Costa Mesa,0.013882,0.024,11,22,1.9083330000000005,3.0,0,34.0,3.217391,5.0,11,7.0,38.521739,58.0,9,55
4078,4078,2000-01-12,"2850 MESA VERDE DR EAST, COSTA MESA",California,Orange,Costa Mesa,0.004353,0.009,9,8,1.320833,1.7,14,19.0,2.695652,4.0,5,6.0,36.434783,50.0,14,47
4079,4079,2000-01-13,"2850 MESA VERDE DR EAST, COSTA MESA",California,Orange,Costa Mesa,0.003235,0.0069999999999999,8,6,3.066667,4.7,10,53.0,4.217391,10.0,6,14.0,61.347826,102.0,14,101
