,Unnamed: 0,Date,Address,State,County,City,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI
5045,5045,2000-03-01,"DEL PASO-2701 AVALON DR, SACRAMENTO",California,Sacramento,Arden-Arcade,0.0168819999999999,0.029,10,27,1.129167,1.9,3,22.0,4.26087,7.0,0,10.0,18.217391,40.0,19,38
5046,5046,2000-03-02,"DEL PASO-2701 AVALON DR, SACRAMENTO",California,Sacramento,Arden-Arcade,0.012118,0.019,13,18,0.4,0.9,0,10.0,4.652174,8.0,21,11.0,19.26087,29.0,8,27
5047,5047,2000-03-03,"DEL PASO-2701 AVALON DR, SACRAMENTO",California,Sacramento,Arden-Arcade,0.011059,0.021,9,19,0.466667,0.8,22,9.0,4.73913,10.0,22,14.0,19.826087,39.0,18,37
5048,5048,2000-03-04,"DEL PASO-2701 AVALON DR, SACRAMENTO",California,Sacramento,Arden-Arcade,0.021765,0.029,10,27,0.304167,0.7,0,8.0,4.0,10.0,21,14.0,11.391304,19.0,4,18
5049,5049,2000-03-05,"DEL PASO-2701 AVALON DR, SACRAMENTO",California,Sacramento,Arden-Arcade,0.026059,0.027,19,25,0.145833,0.3,0,3.0,4.652174,8.0,22,11.0,6.608696000000001,11.0,0,10
5050,5050,2000-03-06,"DEL PASO-2701 AVALON DR, SACRAMENTO",California,Sacramento,Arden-Arcade,0.017353,0.033,9,31,0.2125,0.4,20,5.0,3.043478,9.0,23,13.0,12.521739,35.0,18,33
5051,5051,2000-03-07,"DEL PASO-2701 AVALON DR, SACRAMENTO",California,Sacramento,Arden-Arcade,0.027824,0.032,18,30,0.275,0.4,0,5.0,5.913043,10.0,0,14.0,12.652174,23.0,2,22
5052,5052,2000-03-08,"DEL PASO-2701 AVALON DR, SACRAMENTO",California,Sacramento,Arden-Arcade,0.032917,0.035,20,32,0.216667,0.4,12,5.0,4.45,9.0,21,13.0,9.75,30.0,7,28
5053,5053,2000-03-09,"DEL PASO-2701 AVALON DR, SACRAMENTO",California,Sacramento,Arden-Arcade,0.014941,0.032,9,30,0.216667,0.6,23,7.0,3.869565,9.0,0,13.0,13.565217,33.0,20,31
5054,5054,2000-03-10,"DEL PASO-2701 AVALON DR, SACRAMENTO",California,Sacramento,Arden-Arcade,0.014059,0.033,10,31,0.670833,1.0,23,11.0,4.434783,13.0,21,19.0,20.086957,39.0,20,37
