,Unnamed: 0,Date,Address,State,County,City,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI
4433,4433,2000-01-01,"5888 MISSION BLVD., RUBIDOUX",California,Riverside,Rubidoux,0.016294,0.026,10,24,0.255556,0.7,6,8.0,2.26087,6.0,5,9.0,11.869565,18.0,21,17
4434,4434,2000-01-02,"5888 MISSION BLVD., RUBIDOUX",California,Riverside,Rubidoux,0.013765,0.031,10,29,0.470833,1.2,23,14.0,1.521739,4.0,5,6.0,15.043478,31.0,18,29
4435,4435,2000-01-03,"5888 MISSION BLVD., RUBIDOUX",California,Riverside,Rubidoux,0.011588,0.022,10,20,1.05,1.7,8,19.0,2.913043,7.0,5,10.0,23.26087,35.0,9,33
4436,4436,2000-01-04,"5888 MISSION BLVD., RUBIDOUX",California,Riverside,Rubidoux,0.006706,0.014,9,13,0.933333,2.0,23,23.0,3.043478,7.0,23,10.0,28.391304,35.0,9,33
4437,4437,2000-01-05,"5888 MISSION BLVD., RUBIDOUX",California,Riverside,Rubidoux,0.030059,0.037,21,34,1.166667,2.4,1,27.0,3.391304,8.0,9,11.0,18.217391,40.0,9,38
4438,4438,2000-01-06,"5888 MISSION BLVD., RUBIDOUX",California,Riverside,Rubidoux,0.0168819999999999,0.036,7,33,0.1333329999999999,0.5,23,6.0,0.8260870000000001,7.0,10,10.0,14.956522,35.0,21,33
4439,4439,2000-01-07,"5888 MISSION BLVD., RUBIDOUX",California,Riverside,Rubidoux,0.004706,0.01,9,9,1.279167,2.1,23,24.0,3.130435,7.0,8,10.0,33.173913,49.0,17,46
4440,4440,2000-01-08,"5888 MISSION BLVD., RUBIDOUX",California,Riverside,Rubidoux,0.008,0.018,9,17,1.7,2.5,1,28.0,0.0,0.0,0,0.0,32.130435,51.0,18,48
4441,4441,2000-01-09,"5888 MISSION BLVD., RUBIDOUX",California,Riverside,Rubidoux,0.007118,0.016,9,15,1.8875,3.1,4,35.0,0.0,0.0,0,0.0,36.869565,56.0,18,53
4442,4442,2000-01-10,"5888 MISSION BLVD., RUBIDOUX",California,Riverside,Rubidoux,0.006118,0.014,10,13,2.1958330000000004,3.4,8,39.0,0.0,0.0,0,0.0,44.043478,60.0,9,57
4443,4443,2000-01-11,"5888 MISSION BLVD., RUBIDOUX",California,Riverside,Rubidoux,0.005765,0.012,8,11,2.333333,3.6,8,41.0,0.043478,1.0,8,1.0,50.173913,68.0,16,66
4444,4444,2000-01-12,"5888 MISSION BLVD., RUBIDOUX",California,Riverside,Rubidoux,0.008176,0.015,9,14,2.054167,2.8,6,32.0,0.0,0.0,0,0.0,45.26087,73.0,12,71
