,Unnamed: 0,Date,Address,State,County,City,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI
7054,7054,2000-01-01,LFC #1-LAS FLORES CANYON,California,Santa Barbara,Capitan,0.038353,0.039,7,36,0.106667,0.2,9,2.0,0.190476,1.0,4,1.0,1.2380950000000002,2.0,0,2
7055,7055,2000-01-02,LFC #1-LAS FLORES CANYON,California,Santa Barbara,Capitan,0.039235,0.041,10,38,0.1333329999999999,0.2,14,2.0,0.5217390000000001,1.0,2,1.0,0.608696,1.0,3,1
7056,7056,2000-01-03,LFC #1-LAS FLORES CANYON,California,Santa Barbara,Capitan,0.040235,0.043,13,40,0.1,0.1,0,1.0,0.0,0.0,0,0.0,1.869565,5.0,9,5
7057,7057,2000-01-04,LFC #1-LAS FLORES CANYON,California,Santa Barbara,Capitan,0.038412,0.041,20,38,0.1,0.1,0,1.0,0.041667,1.0,10,1.0,1.958333,7.0,10,7
7058,7058,2000-01-05,LFC #1-LAS FLORES CANYON,California,Santa Barbara,Capitan,0.043059,0.045,12,42,0.15,0.2,12,2.0,0.0,0.0,0,0.0,0.875,3.0,9,3
7059,7059,2000-01-06,LFC #1-LAS FLORES CANYON,California,Santa Barbara,Capitan,0.035941,0.041,20,38,0.2,0.2,0,2.0,0.791667,4.0,16,6.0,4.791667,17.0,16,16
7060,7060,2000-01-07,LFC #1-LAS FLORES CANYON,California,Santa Barbara,Capitan,0.038846,0.041,11,38,0.254167,0.3,3,3.0,0.166667,1.0,7,1.0,5.25,9.0,11,8
7061,7061,2000-01-08,LFC #1-LAS FLORES CANYON,California,Santa Barbara,Capitan,0.041647,0.044,12,41,0.166667,0.2,0,2.0,0.333333,2.0,14,3.0,3.238095,8.0,11,8
7062,7062,2000-01-09,LFC #1-LAS FLORES CANYON,California,Santa Barbara,Capitan,0.038176,0.041,10,38,0.166667,0.2,8,2.0,0.217391,2.0,8,3.0,3.73913,10.0,6,9
7063,7063,2000-01-10,LFC #1-LAS FLORES CANYON,California,Santa Barbara,Capitan,0.035882,0.04,9,37,0.1708329999999999,0.2,0,2.0,0.0,0.0,0,0.0,2.304348,4.0,10,4
7064,7064,2000-01-11,LFC #1-LAS FLORES CANYON,California,Santa Barbara,Capitan,0.027294,0.031,7,29,0.1,0.1,0,1.0,0.478261,1.0,13,1.0,1.130435,2.0,0,2
7065,7065,2000-01-12,LFC #1-LAS FLORES CANYON,California,Santa Barbara,Capitan,0.022412,0.028,12,26,0.158333,0.2,10,2.0,1.0,1.0,0,1.0,5.0,11.0,20,10
7066,7066,2000-01-13,LFC #1-LAS FLORES CANYON,California,Santa Barbara,Capitan,0.036235,0.04,12,37,0.25,0.3,8,3.0,0.608696,3.0,9,4.0,6.913042999999999,15.0,11,14
7067,7067,2000-01-14,LFC #1-LAS FLORES CANYON,California,Santa Barbara,Capitan,0.032154,0.035,16,32,0.1625,0.3,16,3.0,0.782609,2.0,11,3.0,4.086957,13.0,15,12
7068,7068,2000-01-15,LFC #1-LAS FLORES CANYON,California,Santa Barbara,Capitan,0.012647,0.029,7,27,0.25,0.6,22,7.0,1.47619,3.0,21,4.0,19.47619,55.0,21,52
7069,7069,2000-01-16,LFC #1-LAS FLORES CANYON,California,Santa Barbara,Capitan,0.025235,0.03,20,28,0.4375,0.7,1,8.0,1.434783,3.0,10,4.0,16.130435000000002,38.0,2,36
7070,7070,2000-01-17,LFC #1-LAS FLORES CANYON,California,Santa Barbara,Capitan,0.013706,0.024,23,22,0.275,0.3,0,3.0,1.043478,2.0,3,3.0,11.347826,20.0,20,19
7071,7071,2000-01-18,LFC #1-LAS FLORES CANYON,California,Santa Barbara,Capitan,0.028294,0.03,23,28,0.145833,0.3,0,3.0,0.434783,1.0,2,1.0,2.0,2.0,0,2
7072,7072,2000-01-25,LFC #1-LAS FLORES CANYON,California,Santa Barbara,Capitan,0.034529,0.039,16,36,0.129167,0.2,17,2.0,0.0,0.0,0,0.0,0.9,9.0,14,8
7073,7073,2000-01-26,LFC #1-LAS FLORES CANYON,California,Santa Barbara,Capitan,0.036529,0.039,19,36,0.15,0.2,8,2.0,0.0,0.0,0,0.0,1.217391,2.0,9,2
7074,7074,2000-01-27,LFC #1-LAS FLORES CANYON,California,Santa Barbara,Capitan,0.035824,0.04,13,37,0.158333,0.2,10,2.0,0.478261,1.0,2,1.0,4.130434999999999,9.0,10,8
7075,7075,2000-01-28,LFC #1-LAS FLORES CANYON,California,Santa Barbara,Capitan,0.035308,0.038,19,35,0.266667,0.4,16,5.0,0.956522,1.0,0,1.0,9.043478,17.0,17,16
7076,7076,2000-01-29,LFC #1-LAS FLORES CANYON,California,Santa Barbara,Capitan,0.038882,0.041,11,38,0.255556,0.3,0,3.0,0.857143,1.0,0,1.0,5.047619,9.0,12,8
7077,7077,2000-01-30,LFC #1-LAS FLORES CANYON,California,Santa Barbara,Capitan,0.035529,0.038,21,35,0.270833,0.3,3,3.0,0.608696,1.0,0,1.0,4.173913,7.0,14,7
7078,7078,2000-01-31,LFC #1-LAS FLORES CANYON,California,Santa Barbara,Capitan,0.033471,0.035,11,32,0.1625,0.2,0,2.0,0.043478,1.0,2,1.0,2.086957,5.0,11,5
7079,7079,2000-02-01,LFC #1-LAS FLORES CANYON,California,Santa Barbara,Capitan,0.042706,0.048,16,44,0.2,0.2,0,2.0,0.434783,2.0,9,3.0,2.217391,9.0,9,8
7080,7080,2000-02-02,LFC #1-LAS FLORES CANYON,California,Santa Barbara,Capitan,0.048941,0.053,18,49,0.166667,0.2,0,2.0,0.086957,1.0,7,1.0,4.434783,9.0,15,8
7081,7081,2000-02-03,LFC #1-LAS FLORES CANYON,California,Santa Barbara,Capitan,0.045765,0.05,13,46,0.225,0.3,10,3.0,0.347826,3.0,11,4.0,7.391303999999999,18.0,11,17
7082,7082,2000-02-04,LFC #1-LAS FLORES CANYON,California,Santa Barbara,Capitan,0.035692,0.042,9,39,0.2375,0.3,15,3.0,0.608696,1.0,10,1.0,5.8695650000000015,13.0,21,12
7083,7083,2000-02-05,LFC #1-LAS FLORES CANYON,California,Santa Barbara,Capitan,0.039529,0.045,9,42,0.227778,0.4,2,5.0,0.857143,1.0,0,1.0,2.666667,8.0,0,8
7084,7084,2000-02-06,LFC #1-LAS FLORES CANYON,California,Santa Barbara,Capitan,0.034765,0.041,9,38,0.2,0.2,0,2.0,0.695652,2.0,22,3.0,2.173913,4.0,21,4
7085,7085,2000-02-07,LFC #1-LAS FLORES CANYON,California,Santa Barbara,Capitan,0.040588,0.049,20,45,0.2625,0.3,7,3.0,1.043478,3.0,14,4.0,5.304348,11.0,14,10
7086,7086,2000-02-08,LFC #1-LAS FLORES CANYON,California,Santa Barbara,Capitan,0.034118,0.038,11,35,0.158333,0.2,0,2.0,1.130435,3.0,8,4.0,5.565217,15.0,10,14
7087,7087,2000-02-09,LFC #1-LAS FLORES CANYON,California,Santa Barbara,Capitan,0.035941,0.04,10,37,0.1125,0.2,0,2.0,0.7391300000000001,2.0,6,3.0,3.26087,7.0,9,7
7088,7088,2000-02-10,LFC #1-LAS FLORES CANYON,California,Santa Barbara,Capitan,0.042588,0.047,10,44,0.1,0.1,0,1.0,0.043478,1.0,14,1.0,0.956522,2.0,2,2
7089,7089,2000-02-11,LFC #1-LAS FLORES CANYON,California,Santa Barbara,Capitan,0.041462,0.043,19,40,0.1708329999999999,0.2,7,2.0,0.26087,1.0,11,1.0,1.6521740000000005,4.0,20,4
7090,7090,2000-02-12,LFC #1-LAS FLORES CANYON,California,Santa Barbara,Capitan,0.040353,0.041,9,38,0.2,0.2,0,2.0,0.047619,1.0,4,1.0,0.428571,2.0,13,2
7091,7091,2000-02-13,LFC #1-LAS FLORES CANYON,California,Santa Barbara,Capitan,0.035529,0.04,7,37,0.116667,0.2,0,2.0,0.0,0.0,0,0.0,0.8695649999999999,3.0,18,3
